t,v_pre,v_post,i,i_fast,i_slow
108.6,-0.55255,-1.4688,-0.671456,-0.00281549,-0.66864
109.2,-0.559565,-1.46817,-0.671578,-0.00275705,-0.668821
109.8,-0.554566,-1.46754,-0.671793,-0.00279839,-0.668995
110.4,-0.565056,-1.46692,-0.671833,-0.00271203,-0.669121
111,-0.57607,-1.4663,-0.671886,-0.00262421,-0.669262
111.6,-0.571071,-1.46567,-0.672052,-0.00266356,-0.669389
112.2,-0.564056,-1.46504,-0.672253,-0.00271983,-0.669533
112.8,-0.543552,-1.4644,-0.672579,-0.00289135,-0.669688
113.4,-0.571562,-1.46379,-0.672478,-0.00265935,-0.669819
114,-0.565564,-1.46316,-0.672651,-0.0027073,-0.669944
114.6,-0.582576,-1.46253,-0.67265,-0.00257313,-0.670077
115.2,-0.549551,-1.4619,-0.673043,-0.00283962,-0.670203
115.8,-0.551567,-1.46127,-0.673151,-0.00282248,-0.670329
116.4,-0.581069,-1.46066,-0.673021,-0.00258445,-0.670437
117,-0.601081,-1.46005,-0.672967,-0.00243444,-0.670532
117.6,-0.562564,-1.45941,-0.673381,-0.00273103,-0.67065
118.2,-0.563564,-1.45878,-0.673496,-0.00272278,-0.670774
118.8,-0.560565,-1.45815,-0.673659,-0.00274716,-0.670912
119.4,-0.582576,-1.45754,-0.673607,-0.00257235,-0.671034
120,-0.57307,-1.4569,-0.67382,-0.0026463,-0.671174
120.6,-0.571071,-1.45627,-0.673962,-0.00266204,-0.6713
121.2,-0.538553,-1.45562,-0.674395,-0.00293323,-0.671462
121.8,-0.534046,-1.45498,-0.6746,-0.00297283,-0.671627
122.4,-0.51705,-1.45433,-0.674956,-0.00312732,-0.671828
123,-0.542552,-1.4537,-0.674895,-0.0028981,-0.671997
123.6,-0.526556,-1.45304,-0.675233,-0.00303965,-0.672193
124.2,-0.521049,-1.45239,-0.675479,-0.00308988,-0.672389
124.8,-0.533046,-1.45174,-0.675557,-0.00298113,-0.672576
125.4,-0.507035,-1.45108,-0.675981,-0.00322151,-0.67276
126,-0.527047,-1.45043,-0.675983,-0.00303472,-0.672948
126.6,-0.49553,-1.44976,-0.676484,-0.00333368,-0.67315
127.2,-0.515542,-1.4491,-0.676506,-0.00314042,-0.673365
127.8,-0.502545,-1.44843,-0.676831,-0.00326441,-0.673567
128.4,-0.561565,-1.44779,-0.67648,-0.00273725,-0.673743
129,-0.509035,-1.4471,-0.677115,-0.00320157,-0.673913
129.6,-0.54506,-1.44645,-0.676954,-0.00287523,-0.674079
130.2,-0.54506,-1.44579,-0.677097,-0.00287511,-0.674222
130.8,-0.563564,-1.44514,-0.677062,-0.00272053,-0.674341
131.4,-0.531047,-1.44448,-0.67744,-0.00299764,-0.674443
132,-0.539553,-1.44381,-0.677493,-0.0029224,-0.67457
132.6,-0.557565,-1.44315,-0.67748,-0.00276934,-0.674711
133.2,-0.551059,-1.44249,-0.677651,-0.00282354,-0.674827
133.8,-0.584068,-1.44185,-0.677464,-0.00255848,-0.674906
134.4,-0.554058,-1.44119,-0.677791,-0.00279815,-0.674993
135,-0.57507,-1.44053,-0.677724,-0.00262794,-0.675096
135.6,-0.565056,-1.43987,-0.677903,-0.00270757,-0.675196
136.2,-0.556058,-1.43921,-0.678078,-0.00278117,-0.675297
136.8,-0.560057,-1.43856,-0.678125,-0.00274806,-0.675377
137.4,-0.570071,-1.4379,-0.678132,-0.00266702,-0.675465
138,-0.568071,-1.43724,-0.678234,-0.00268288,-0.675551
138.6,-0.54306,-1.43657,-0.678547,-0.0028907,-0.675656
139.2,-0.54606,-1.43591,-0.678637,-0.00286483,-0.675772
139.8,-0.521049,-1.43525,-0.678964,-0.00308666,-0.675877
140.4,-0.517541,-1.43457,-0.679139,-0.00311899,-0.67602
141,-0.511051,-1.43389,-0.679374,-0.00317983,-0.676194
141.6,-0.51305,-1.43321,-0.679524,-0.00316079,-0.676363
142.2,-0.511051,-1.43253,-0.679695,-0.00317956,-0.676516
142.8,-0.534046,-1.43187,-0.679622,-0.00296866,-0.676653
143.4,-0.51405,-1.43118,-0.679956,-0.00315099,-0.676805
144,-0.49553,-1.43047,-0.680309,-0.00332977,-0.676979
144.6,-0.507543,-1.42979,-0.680369,-0.00321246,-0.677157
145.2,-0.504036,-1.4291,-0.680573,-0.0032461,-0.677327
145.8,-0.504544,-1.4284,-0.680753,-0.00324105,-0.677512
146.4,-0.520049,-1.42771,-0.680757,-0.00309446,-0.677662
147,-0.524556,-1.42702,-0.680861,-0.003053,-0.677808
147.6,-0.531555,-1.42632,-0.680944,-0.00298979,-0.677954
148.2,-0.52354,-1.42562,-0.681164,-0.00306201,-0.678102
148.8,-0.519541,-1.42492,-0.681353,-0.00309862,-0.678254
