t,v_pre,v_post,i,i_fast,i_slow
6.288,-0.599573,-1.49311,-0.599316,-5.66534e-05,-0.59926
6.336,-0.562056,-1.49253,-0.599498,-6.563e-05,-0.599432
6.384,-0.570071,-1.49194,-0.599654,-6.35965e-05,-0.599591
6.432,-0.580069,-1.49136,-0.599861,-6.11486e-05,-0.599799
6.48,-0.552058,-1.49077,-0.600125,-6.82452e-05,-0.600056
6.528,-0.550059,-1.49016,-0.600477,-6.87794e-05,-0.600408
6.576,-0.556058,-1.48956,-0.600782,-6.71772e-05,-0.600715
6.624,-0.573562,-1.48896,-0.601055,-6.27178e-05,-0.600992
6.672,-0.541061,-1.48836,-0.601254,-7.124e-05,-0.601183
6.72,-0.54606,-1.48775,-0.601521,-6.98539e-05,-0.601451
6.768,-0.580069,-1.48714,-0.601725,-6.11294e-05,-0.601664
6.816,-0.566055,-1.48654,-0.601942,-6.45798e-05,-0.601878
6.864,-0.548551,-1.48592,-0.602257,-6.91653e-05,-0.602188
6.912,-0.527047,-1.4853,-0.602598,-7.52472e-05,-0.602523
6.96,-0.551059,-1.48468,-0.602959,-6.84821e-05,-0.602891
7.008,-0.561565,-1.48405,-0.60321,-6.57149e-05,-0.603144
7.056,-0.532046,-1.48343,-0.603479,-7.37761e-05,-0.603405
7.104,-0.556566,-1.4828,-0.603697,-6.70096e-05,-0.60363
7.152,-0.560057,-1.48218,-0.603926,-6.60954e-05,-0.60386
7.2,-0.57307,-1.48155,-0.604123,-6.2804e-05,-0.60406
7.248,-0.562056,-1.48093,-0.60425,-6.5573e-05,-0.604184
7.296,-0.586067,-1.48031,-0.60436,-5.96775e-05,-0.6043
7.344,-0.572562,-1.47969,-0.60443,-6.29205e-05,-0.604367
7.392,-0.581069,-1.47908,-0.604514,-6.08534e-05,-0.604453
7.44,-0.580577,-1.47847,-0.6046,-6.0968e-05,-0.604539
7.488,-0.607079,-1.47787,-0.604548,-5.49471e-05,-0.604493
7.536,-0.570071,-1.47726,-0.604641,-6.35266e-05,-0.604577
7.584,-0.590067,-1.47666,-0.604736,-5.87328e-05,-0.604678
7.632,-0.589067,-1.47606,-0.604747,-5.89609e-05,-0.604688
7.68,-0.60408,-1.47547,-0.604722,-5.55873e-05,-0.604666
7.728,-0.591574,-1.47489,-0.604675,-5.83788e-05,-0.604617
7.776,-0.587067,-1.4743,-0.604735,-5.94172e-05,-0.604675
7.824,-0.578561,-1.47372,-0.604722,-6.143e-05,-0.60466
7.872,-0.584068,-1.47313,-0.604856,-6.01149e-05,-0.604796
7.92,-0.579069,-1.47254,-0.605026,-6.13023e-05,-0.604965
7.968,-0.586576,-1.47195,-0.605107,-5.95214e-05,-0.605048
8.016,-0.542061,-1.47136,-0.605292,-7.08708e-05,-0.605221
8.064,-0.557565,-1.47077,-0.605446,-6.66872e-05,-0.605379
8.112,-0.596573,-1.47019,-0.60552,-5.72253e-05,-0.605463
8.16,-0.551059,-1.46959,-0.605702,-6.84046e-05,-0.605634
8.208,-0.55255,-1.469,-0.605876,-6.80027e-05,-0.605808
8.256,-0.579577,-1.46842,-0.605945,-6.11614e-05,-0.605884
8.304,-0.565564,-1.46782,-0.606191,-6.46136e-05,-0.606127
8.352,-0.57307,-1.46722,-0.60634,-6.27365e-05,-0.606278
8.4,-0.550551,-1.46662,-0.606603,-6.85258e-05,-0.606535
8.448,-0.559565,-1.46602,-0.606795,-6.61427e-05,-0.606729
