t,x,y,z
19.5,-1.51841,-10.5366,3.16128
19.6,-1.51835,-10.5357,3.16123
19.7,-1.51829,-10.5348,3.16118
19.8,-1.51823,-10.534,3.16113
19.9,-1.51818,-10.5331,3.16108
20,-1.51812,-10.5322,3.16103
20.1,-1.51806,-10.5313,3.16098
20.2,-1.518,-10.5304,3.16093
20.3,-1.51794,-10.5296,3.16088
20.4,-1.51789,-10.5287,3.16084
20.5,-1.51783,-10.5278,3.16079
20.6,-1.51777,-10.5269,3.16074
20.7,-1.51771,-10.526,3.16069
20.8,-1.51765,-10.5252,3.16064
20.9,-1.5176,-10.5243,3.16059
21,-1.51754,-10.5234,3.16054
21.1,-1.51748,-10.5225,3.16049
21.2,-1.51742,-10.5216,3.16044
21.3,-1.51736,-10.5208,3.16039
21.4,-1.5173,-10.5199,3.16034
21.5,-1.51725,-10.519,3.1603
21.6,-1.51719,-10.5181,3.16025
21.7,-1.51713,-10.5172,3.1602
21.8,-1.51707,-10.5164,3.16015
21.9,-1.51701,-10.5155,3.1601
22,-1.51696,-10.5146,3.16005
22.1,-1.5169,-10.5137,3.16
22.2,-1.51684,-10.5128,3.15995
22.3,-1.51678,-10.5119,3.1599
22.4,-1.51672,-10.5111,3.15986
22.5,-1.51667,-10.5102,3.15981
22.6,-1.51661,-10.5093,3.15976
22.7,-1.51655,-10.5084,3.15971
22.8,-1.51649,-10.5075,3.15966
22.9,-1.51643,-10.5067,3.15961
23,-1.51638,-10.5058,3.15956
23.1,-1.51632,-10.5049,3.15951
23.2,-1.51626,-10.504,3.15946
23.3,-1.5162,-10.5031,3.15942
23.4,-1.51614,-10.5023,3.15937
23.5,-1.51608,-10.5014,3.15932
23.6,-1.51603,-10.5005,3.15927
23.7,-1.51597,-10.4996,3.15922
23.8,-1.51591,-10.4987,3.15917
23.9,-1.51585,-10.4978,3.15912
24,-1.51579,-10.497,3.15908
24.1,-1.51574,-10.4961,3.15903
24.2,-1.51568,-10.4952,3.15898
24.3,-1.51562,-10.4943,3.15893
24.4,-1.51556,-10.4934,3.15888
24.5,-1.5155,-10.4926,3.15883
24.6,-1.51544,-10.4917,3.15878
24.7,-1.51539,-10.4908,3.15873
24.8,-1.51533,-10.4899,3.15869
24.9,-1.51527,-10.489,3.15864
25,-1.51521,-10.4881,3.15859
25.1,-1.51515,-10.4873,3.15854
25.2,-1.5151,-10.4864,3.15849
25.3,-1.51504,-10.4855,3.15844
25.4,-1.51498,-10.4846,3.1584
25.5,-1.51492,-10.4837,3.15835
25.6,-1.51486,-10.4829,3.1583
25.7,-1.5148,-10.482,3.15825
25.8,-1.51475,-10.4811,3.1582
25.9,-1.51469,-10.4802,3.15815
26,-1.51463,-10.4793,3.1581
26.1,-1.51457,-10.4784,3.15806
26.2,-1.51451,-10.4776,3.15801
26.3,-1.51445,-10.4767,3.15796
26.4,-1.5144,-10.4758,3.15791
26.5,-1.51434,-10.4749,3.15786
26.6,-1.51428,-10.474,3.15781
26.7,-1.51422,-10.4732,3.15777
26.8,-1.51416,-10.4723,3.15772
26.9,-1.5141,-10.4714,3.15767
27,-1.51405,-10.4705,3.15762
27.1,-1.51399,-10.4696,3.15757
27.2,-1.51393,-10.4687,3.15752
27.3,-1.51387,-10.4679,3.15748
27.4,-1.51381,-10.467,3.15743
27.5,-1.51375,-10.4661,3.15738
27.6,-1.5137,-10.4652,3.15733
27.7,-1.51364,-10.4643,3.15728
27.8,-1.51358,-10.4634,3.15724
27.9,-1.51352,-10.4626,3.15719
28,-1.51346,-10.4617,3.15714
28.1,-1.5134,-10.4608,3.15709
28.2,-1.51335,-10.4599,3.15704
28.3,-1.51329,-10.459,3.157
28.4,-1.51323,-10.4581,3.15695
28.5,-1.51317,-10.4573,3.1569
28.6,-1.51311,-10.4564,3.15685
28.7,-1.51305,-10.4555,3.1568
28.8,-1.513,-10.4546,3.15675
28.9,-1.51294,-10.4537,3.15671
29,-1.51288,-10.4528,3.15666
29.1,-1.51282,-10.452,3.15661
29.2,-1.51276,-10.4511,3.15656
29.3,-1.5127,-10.4502,3.15651
29.4,-1.51265,-10.4493,3.15647
29.5,-1.51259,-10.4484,3.15642
29.6,-1.51253,-10.4475,3.15637
29.7,-1.51247,-10.4467,3.15632
29.8,-1.51241,-10.4458,3.15628
29.9,-1.51235,-10.4449,3.15623
30,-1.51229,-10.444,3.15618
30.1,-1.51224,-10.4431,3.15613
30.2,-1.51218,-10.4422,3.15608
30.3,-1.51212,-10.4414,3.15604
30.4,-1.51206,-10.4405,3.15599
30.5,-1.512,-10.4396,3.15594
30.6,-1.51194,-10.4387,3.15589
30.7,-1.51189,-10.4378,3.15584
30.8,-1.51183,-10.4369,3.1558
30.9,-1.51177,-10.4361,3.15575
31,-1.51171,-10.4352,3.1557
31.1,-1.51165,-10.4343,3.15565
31.2,-1.51159,-10.4334,3.15561
31.3,-1.51153,-10.4325,3.15556
31.4,-1.51148,-10.4316,3.15551
31.5,-1.51142,-10.4308,3.15546
31.6,-1.51136,-10.4299,3.15542
31.7,-1.5113,-10.429,3.15537
31.8,-1.51124,-10.4281,3.15532
31.9,-1.51118,-10.4272,3.15527
32,-1.51112,-10.4263,3.15523
32.1,-1.51107,-10.4254,3.15518
32.2,-1.51101,-10.4246,3.15513
32.3,-1.51095,-10.4237,3.15508
32.4,-1.51089,-10.4228,3.15503
32.5,-1.51083,-10.4219,3.15499
32.6,-1.51077,-10.421,3.15494
32.7,-1.51071,-10.4201,3.15489
32.8,-1.51066,-10.4193,3.15484
32.9,-1.5106,-10.4184,3.1548
33,-1.51054,-10.4175,3.15475
33.1,-1.51048,-10.4166,3.1547
33.2,-1.51042,-10.4157,3.15465
33.3,-1.51036,-10.4148,3.15461
33.4,-1.5103,-10.4139,3.15456
33.5,-1.51025,-10.4131,3.15451
33.6,-1.51019,-10.4122,3.15447
33.7,-1.51013,-10.4113,3.15442
33.8,-1.51007,-10.4104,3.15437
33.9,-1.51001,-10.4095,3.15432
34,-1.50995,-10.4086,3.15428
34.1,-1.50989,-10.4078,3.15423
34.2,-1.50984,-10.4069,3.15418
34.3,-1.50978,-10.406,3.15413
34.4,-1.50972,-10.4051,3.15409
34.5,-1.50966,-10.4042,3.15404
34.6,-1.5096,-10.4033,3.15399
34.7,-1.50954,-10.4024,3.15394
34.8,-1.50948,-10.4016,3.1539
34.9,-1.50942,-10.4007,3.15385
35,-1.50937,-10.3998,3.1538
35.1,-1.50931,-10.3989,3.15376
35.2,-1.50925,-10.398,3.15371
35.3,-1.50919,-10.3971,3.15366
35.4,-1.50913,-10.3962,3.15361
35.5,-1.50907,-10.3954,3.15357
35.6,-1.50901,-10.3945,3.15352
35.7,-1.50896,-10.3936,3.15347
35.8,-1.5089,-10.3927,3.15343
35.9,-1.50884,-10.3918,3.15338
36,-1.50878,-10.3909,3.15333
36.1,-1.50872,-10.39,3.15328
36.2,-1.50866,-10.3892,3.15324
36.3,-1.5086,-10.3883,3.15319
36.4,-1.50854,-10.3874,3.15314
36.5,-1.50849,-10.3865,3.1531
36.6,-1.50843,-10.3856,3.15305
36.7,-1.50837,-10.3847,3.153
36.8,-1.50831,-10.3838,3.15296
36.9,-1.50825,-10.383,3.15291
37,-1.50819,-10.3821,3.15286
37.1,-1.50813,-10.3812,3.15281
37.2,-1.50807,-10.3803,3.15277
37.3,-1.50801,-10.3794,3.15272
37.4,-1.50796,-10.3785,3.15267
37.5,-1.5079,-10.3776,3.15263
37.6,-1.50784,-10.3767,3.15258
37.7,-1.50778,-10.3759,3.15253
37.8,-1.50772,-10.375,3.15249
37.9,-1.50766,-10.3741,3.15244
38,-1.5076,-10.3732,3.15239
38.1,-1.50754,-10.3723,3.15235
38.2,-1.50749,-10.3714,3.1523
38.3,-1.50743,-10.3705,3.15225
38.4,-1.50737,-10.3697,3.15221
38.5,-1.50731,-10.3688,3.15216
38.6,-1.50725,-10.3679,3.15211
38.7,-1.50719,-10.367,3.15207
38.8,-1.50713,-10.3661,3.15202
38.9,-1.50707,-10.3652,3.15197
39,-1.50701,-10.3643,3.15193
39.1,-1.50696,-10.3634,3.15188
39.2,-1.5069,-10.3626,3.15183
39.3,-1.50684,-10.3617,3.15179
39.4,-1.50678,-10.3608,3.15174
39.5,-1.50672,-10.3599,3.15169
39.6,-1.50666,-10.359,3.15165
39.7,-1.5066,-10.3581,3.1516
39.8,-1.50654,-10.3572,3.15155
39.9,-1.50648,-10.3564,3.15151
40,-1.50643,-10.3555,3.15146
40.1,-1.50637,-10.3546,3.15141
40.2,-1.50631,-10.3537,3.15137
40.3,-1.50625,-10.3528,3.15132
40.4,-1.50619,-10.3519,3.15127
40.5,-1.50613,-10.351,3.15123
40.6,-1.50607,-10.3501,3.15118
40.7,-1.50601,-10.3493,3.15113
40.8,-1.50595,-10.3484,3.15109
40.9,-1.5059,-10.3475,3.15104
41,-1.50584,-10.3466,3.151
41.1,-1.50578,-10.3457,3.15095
41.2,-1.50572,-10.3448,3.1509
41.3,-1.50566,-10.3439,3.15086
41.4,-1.5056,-10.343,3.15081
41.5,-1.50554,-10.3421,3.15076
41.6,-1.50548,-10.3413,3.15072
41.7,-1.50542,-10.3404,3.15067
41.8,-1.50536,-10.3395,3.15062
41.9,-1.50531,-10.3386,3.15058
42,-1.50525,-10.3377,3.15053
42.1,-1.50519,-10.3368,3.15049
42.2,-1.50513,-10.3359,3.15044
42.3,-1.50507,-10.335,3.15039
42.4,-1.50501,-10.3342,3.15035
42.5,-1.50495,-10.3333,3.1503
42.6,-1.50489,-10.3324,3.15025
42.7,-1.50483,-10.3315,3.15021
42.8,-1.50477,-10.3306,3.15016
42.9,-1.50471,-10.3297,3.15012
43,-1.50466,-10.3288,3.15007
43.1,-1.5046,-10.3279,3.15002
43.2,-1.50454,-10.327,3.14998
43.3,-1.50448,-10.3262,3.14993
43.4,-1.50442,-10.3253,3.14989
43.5,-1.50436,-10.3244,3.14984
43.6,-1.5043,-10.3235,3.14979
43.7,-1.50424,-10.3226,3.14975
43.8,-1.50418,-10.3217,3.1497
43.9,-1.50412,-10.3208,3.14966
44,-1.50406,-10.3199,3.14961
44.1,-1.50401,-10.3191,3.14956
44.2,-1.50395,-10.3182,3.14952
44.3,-1.50389,-10.3173,3.14947
44.4,-1.50383,-10.3164,3.14943
44.5,-1.50377,-10.3155,3.14938
44.6,-1.50371,-10.3146,3.14933
44.7,-1.50365,-10.3137,3.14929
44.8,-1.50359,-10.3128,3.14924
44.9,-1.50353,-10.3119,3.1492
45,-1.50347,-10.311,3.14915
45.1,-1.50341,-10.3102,3.1491
45.2,-1.50335,-10.3093,3.14906
45.3,-1.5033,-10.3084,3.14901
45.4,-1.50324,-10.3075,3.14897
45.5,-1.50318,-10.3066,3.14892
45.6,-1.50312,-10.3057,3.14888
45.7,-1.50306,-10.3048,3.14883
45.8,-1.503,-10.3039,3.14878
45.9,-1.50294,-10.303,3.14874
46,-1.50288,-10.3022,3.14869
46.1,-1.50282,-10.3013,3.14865
46.2,-1.50276,-10.3004,3.1486
46.3,-1.5027,-10.2995,3.14856
46.4,-1.50264,-10.2986,3.14851
46.5,-1.50258,-10.2977,3.14846
46.6,-1.50253,-10.2968,3.14842
46.7,-1.50247,-10.2959,3.14837
46.8,-1.50241,-10.295,3.14833
46.9,-1.50235,-10.2941,3.14828
47,-1.50229,-10.2933,3.14824
47.1,-1.50223,-10.2924,3.14819
47.2,-1.50217,-10.2915,3.14814
47.3,-1.50211,-10.2906,3.1481
47.4,-1.50205,-10.2897,3.14805
47.5,-1.50199,-10.2888,3.14801
47.6,-1.50193,-10.2879,3.14796
47.7,-1.50187,-10.287,3.14792
47.8,-1.50181,-10.2861,3.14787
47.9,-1.50175,-10.2852,3.14783
48,-1.5017,-10.2844,3.14778
48.1,-1.50164,-10.2835,3.14773
48.2,-1.50158,-10.2826,3.14769
48.3,-1.50152,-10.2817,3.14764
48.4,-1.50146,-10.2808,3.1476
48.5,-1.5014,-10.2799,3.14755
48.6,-1.50134,-10.279,3.14751
48.7,-1.50128,-10.2781,3.14746
48.8,-1.50122,-10.2772,3.14742
48.9,-1.50116,-10.2763,3.14737
49,-1.5011,-10.2754,3.14733
49.1,-1.50104,-10.2746,3.14728
49.2,-1.50098,-10.2737,3.14724
49.3,-1.50092,-10.2728,3.14719
49.4,-1.50086,-10.2719,3.14715
49.5,-1.5008,-10.271,3.1471
49.6,-1.50075,-10.2701,3.14705
49.7,-1.50069,-10.2692,3.14701
49.8,-1.50063,-10.2683,3.14696
49.9,-1.50057,-10.2674,3.14692
50,-1.50051,-10.2665,3.14687
50.1,-1.50045,-10.2656,3.14683
50.2,-1.50039,-10.2647,3.14678
50.3,-1.50033,-10.2639,3.14674
50.4,-1.50027,-10.263,3.14669
50.5,-1.50021,-10.2621,3.14665
50.6,-1.50015,-10.2612,3.1466
50.7,-1.50009,-10.2603,3.14656
50.8,-1.50003,-10.2594,3.14651
50.9,-1.49997,-10.2585,3.14647
51,-1.49991,-10.2576,3.14642
51.1,-1.49985,-10.2567,3.14638
51.2,-1.49979,-10.2558,3.14633
51.3,-1.49973,-10.2549,3.14629
51.4,-1.49968,-10.254,3.14624
51.5,-1.49962,-10.2532,3.1462
51.6,-1.49956,-10.2523,3.14615
51.7,-1.4995,-10.2514,3.14611
51.8,-1.49944,-10.2505,3.14606
51.9,-1.49938,-10.2496,3.14602
52,-1.49932,-10.2487,3.14597
52.1,-1.49926,-10.2478,3.14593
52.2,-1.4992,-10.2469,3.14588
52.3,-1.49914,-10.246,3.14584
52.4,-1.49908,-10.2451,3.14579
52.5,-1.49902,-10.2442,3.14575
52.6,-1.49896,-10.2433,3.1457
52.7,-1.4989,-10.2425,3.14566
52.8,-1.49884,-10.2416,3.14561
52.9,-1.49878,-10.2407,3.14557
53,-1.49872,-10.2398,3.14552
53.1,-1.49866,-10.2389,3.14548
53.2,-1.4986,-10.238,3.14543
53.3,-1.49854,-10.2371,3.14539
53.4,-1.49848,-10.2362,3.14535
53.5,-1.49842,-10.2353,3.1453
53.6,-1.49837,-10.2344,3.14526
53.7,-1.49831,-10.2335,3.14521
53.8,-1.49825,-10.2326,3.14517
53.9,-1.49819,-10.2317,3.14512
54,-1.49813,-10.2308,3.14508
54.1,-1.49807,-10.23,3.14503
54.2,-1.49801,-10.2291,3.14499
54.3,-1.49795,-10.2282,3.14494
54.4,-1.49789,-10.2273,3.1449
54.5,-1.49783,-10.2264,3.14485
54.6,-1.49777,-10.2255,3.14481
54.7,-1.49771,-10.2246,3.14476
54.8,-1.49765,-10.2237,3.14472
54.9,-1.49759,-10.2228,3.14468
55,-1.49753,-10.2219,3.14463
55.1,-1.49747,-10.221,3.14459
55.2,-1.49741,-10.2201,3.14454
55.3,-1.49735,-10.2192,3.1445
55.4,-1.49729,-10.2183,3.14445
55.5,-1.49723,-10.2174,3.14441
55.6,-1.49717,-10.2166,3.14436
55.7,-1.49711,-10.2157,3.14432
55.8,-1.49705,-10.2148,3.14428
55.9,-1.49699,-10.2139,3.14423
56,-1.49693,-10.213,3.14419
56.1,-1.49687,-10.2121,3.14414
56.2,-1.49681,-10.2112,3.1441
56.3,-1.49675,-10.2103,3.14405
56.4,-1.49669,-10.2094,3.14401
56.5,-1.49663,-10.2085,3.14396
56.6,-1.49657,-10.2076,3.14392
56.7,-1.49651,-10.2067,3.14388
56.8,-1.49645,-10.2058,3.14383
56.9,-1.49639,-10.2049,3.14379
57,-1.49633,-10.204,3.14374
57.1,-1.49628,-10.2031,3.1437
57.2,-1.49622,-10.2022,3.14365
57.3,-1.49616,-10.2014,3.14361
57.4,-1.4961,-10.2005,3.14357
57.5,-1.49604,-10.1996,3.14352
57.6,-1.49598,-10.1987,3.14348
57.7,-1.49592,-10.1978,3.14343
57.8,-1.49586,-10.1969,3.14339
57.9,-1.4958,-10.196,3.14335
58,-1.49574,-10.1951,3.1433
58.1,-1.49568,-10.1942,3.14326
58.2,-1.49562,-10.1933,3.14321
58.3,-1.49556,-10.1924,3.14317
