t,f
1006.38,-0.7414773340286879
1006.39,-0.7411265231339935
1006.4,-0.7407749296480282
1006.41,-0.7404225510655082
1006.4200000000001,-0.740069384869938
1006.4300000000001,-0.7397154285335454
1006.44,-0.7393606795172158
1006.45,-0.7390051352704261
1006.46,-0.7386487932311776
1006.47,-0.73829165082593
1006.48,-0.7379337054695324
1006.49,-0.7375749545651561
1006.5,-0.7372153955042259
1006.51,-0.7368550256663507
1006.52,-0.7364938424192543
1006.53,-0.7361318431187049
1006.5400000000001,-0.7357690251084448
1006.5500000000001,-0.7354053857201192
1006.5600000000001,-0.7350409222732044
1006.57,-0.7346756320749361
1006.58,-0.7343095124202366
1006.59,-0.7339425605916406
1006.6,-0.733574773859223
1006.61,-0.7332061494805235
1006.62,-0.7328366847004724
1006.63,-0.7324663767513143
1006.64,-0.7320952228525333
1006.65,-0.7317232202107756
1006.66,-0.7313503660197733
1006.6700000000001,-0.7309766574602652
1006.6800000000001,-0.7306020916999205
1006.69,-0.7302266658932587
1006.7,-0.7298503771815702
1006.71,-0.7294732226928373
1006.72,-0.7290951995416529
1006.73,-0.728716304829139
1006.74,-0.7283365356428652
1006.75,-0.7279558890567671
1006.76,-0.7275743621310619
1006.77,-0.7271919519121656
1006.78,-0.7268086554326088
1006.7900000000001,-0.7264244697109512
1006.8000000000001,-0.7260393917516962
1006.8100000000001,-0.7256534185452055
1006.82,-0.7252665470676108
1006.83,-0.7248787742807278
1006.84,-0.7244900971319664
1006.85,-0.7241005125542438
1006.86,-0.7237100174658933
1006.87,-0.7233186087705743
1006.88,-0.7229262833571828
1006.89,-0.722533038099758
1006.9,-0.7221388698573913
1006.91,-0.721743775474132
1006.9200000000001,-0.7213477517788959
1006.9300000000001,-0.7209507955853677
1006.94,-0.7205529036919086
1006.95,-0.7201540728814587
1006.96,-0.7197542999214412
1006.97,-0.7193535815636647
1006.98,-0.718951914544225
1006.99,-0.7185492955834066
1007.0,-0.7181457213855824
1007.01,-0.7177411886391136
1007.02,-0.7173356940162485
1007.03,-0.7169292341730202
1007.0400000000001,-0.7165218057491444
1007.0500000000001,-0.7161134053679152
1007.0600000000001,-0.7157040296361005
1007.07,-0.7152936751438377
1007.08,-0.7148823384645262
1007.09,-0.7144700161547219
1007.1,-0.7140567047540286
1007.11,-0.7136424007849893
1007.12,-0.7132271007529775
1007.13,-0.7128108011460856
1007.14,-0.7123934984350152
1007.15,-0.7119751890729636
1007.16,-0.711555869495512
1007.1700000000001,-0.7111355361205104
1007.1800000000001,-0.7107141853479642
1007.19,-0.7102918135599166
1007.2,-0.7098684171203339
1007.21,-0.7094439923749869
1007.22,-0.7090185356513324
1007.23,-0.7085920432583939
1007.24,-0.7081645114866408
1007.25,-0.7077359366078682
1007.26,-0.7073063148750725
1007.27,-0.706875642522329
1007.28,-0.7064439157646687
1007.2900000000001,-0.7060111307979505
1007.3000000000001,-0.7055772837987371
1007.3100000000001,-0.7051423709241659
1007.32,-0.7047063883118216
1007.33,-0.7042693320796054
1007.34,-0.7038311983256058
1007.35,-0.7033919831279662
1007.36,-0.7029516825447522
1007.37,-0.7025102926138175
1007.38,-0.70206780935267
1007.39,-0.7016242287583343
1007.4,-0.7011795468072153
1007.41,-0.7007337594549604
1007.4200000000001,-0.7002868626363188
1007.4300000000001,-0.6998388522650018
1007.44,-0.6993897242335403
1007.45,-0.6989394744131433
1007.46,-0.6984880986535514
1007.47,-0.6980355927828941
1007.48,-0.6975819526075407
1007.49,-0.6971271739119543
1007.5,-0.6966712524585419
1007.51,-0.6962141839875042
1007.52,-0.6957559642166847
1007.53,-0.6952965888414159
1007.5400000000001,-0.6948360535343651
1007.5500000000001,-0.6943743539453803
1007.5600000000001,-0.6939114857013321
1007.57,-0.6934474444059564
1007.58,-0.6929822256396944
1007.59,-0.6925158249595318
1007.6,-0.6920482378988376
1007.61,-0.6915794599671994
1007.62,-0.6911094866502593
1007.63,-0.690638313409547
1007.64,-0.6901659356823121
1007.65,-0.6896923488813553
1007.66,-0.6892175483948572
1007.6700000000001,-0.6887415295862064
1007.6800000000001,-0.6882642877938262
1007.69,-0.6877858183309986
1007.7,-0.6873061164856884
1007.71,-0.6868251775203645
1007.72,-0.6863429966718211
1007.73,-0.6858595691509948
1007.74,-0.6853748901427831
1007.75,-0.6848889548058597
1007.76,-0.6844017582724875
1007.77,-0.6839132956483321
1007.78,-0.6834235620122715
1007.7900000000001,-0.6829325524162055
1007.8000000000001,-0.6824402618848632
1007.8100000000001,-0.6819466854156075
1007.82,-0.6814518179782406
1007.83,-0.6809556545148046
1007.84,-0.6804581899393823
1007.85,-0.6799594191378967
1007.86,-0.6794593369679067
1007.87,-0.6789579382584023
1007.88,-0.6784552178095978
1007.89,-0.6779511703927237
1007.9,-0.6774457907498155
1007.91,-0.6769390735935013
1007.9200000000001,-0.6764310136067875
1007.9300000000001,-0.6759216054428422
1007.94,-0.6754108437247781
1007.95,-0.6748987230454306
1007.96,-0.6743852379671372
1007.97,-0.6738703830215121
1007.98,-0.6733541527092205
1007.99,-0.67283654149975
1008.0,-0.6723175438311806
1008.01,-0.6717971541099518
1008.02,-0.671275366710628
1008.03,-0.6707521759756621
1008.0400000000001,-0.6702275762151563
1008.0500000000001,-0.6697015617066205
1008.0600000000001,-0.6691741266947298
1008.07,-0.6686452653910778
1008.08,-0.6681149719739303
1008.09,-0.6675832405879737
1008.1,-0.6670500653440627
1008.11,-0.666515440318966
1008.12,-0.665979359555109
1008.13,-0.6654418170603135
1008.14,-0.6649028068075367
1008.15,-0.6643623227346054
1008.16,-0.6638203587439507
1008.1700000000001,-0.6632769087023369
1008.1800000000001,-0.6627319664405907
1008.19,-0.6621855257533258
1008.2,-0.661637580398666
1008.21,-0.661088124097966
1008.22,-0.6605371505355279
1008.23,-0.6599846533583166
1008.24,-0.6594306261756725
1008.25,-0.6588750625590198
1008.26,-0.6583179560415744
1008.27,-0.6577593001180462
1008.28,-0.6571990882443421
1008.2900000000001,-0.6566373138372629
1008.3000000000001,-0.656073970274198
1008.3100000000001,-0.6555090508928194
1008.32,-0.6549425489907698
1008.33,-0.6543744578253489
1008.34,-0.6538047706131973
1008.35,-0.6532334805299772
1008.36,-0.6526605807100481
1008.37,-0.6520860642461414
1008.38,-0.6515099241890321
1008.39,-0.6509321535472051
1008.4,-0.6503527452865203
1008.41,-0.6497716923298736
1008.4200000000001,-0.6491889875568542
1008.4300000000001,-0.6486046238033993
1008.44,-0.6480185938614454
1008.45,-0.6474308904785747
1008.46,-0.6468415063576602
1008.47,-0.646250434156506
1008.48,-0.6456576664874835
1008.49,-0.6450631959171657
1008.5,-0.6444670149659556
1008.51,-0.6438691161077136
1008.52,-0.6432694917693786
1008.53,-0.6426681343305871
1008.5400000000001,-0.6420650361232869
1008.5500000000001,-0.6414601894313483
1008.5600000000001,-0.6408535864901714
1008.57,-0.6402452194862884
1008.58,-0.6396350805569619
1008.59,-0.6390231617897805
1008.6,-0.6384094552222487
1008.61,-0.6377939528413739
1008.62,-0.637176646583248
1008.63,-0.6365575283326258
1008.64,-0.6359365899224982
1008.65,-0.6353138231336621
1008.66,-0.6346892196942843
1008.6700000000001,-0.6340627712794623
1008.6800000000001,-0.6334344695107805
1008.69,-0.6328043059558607
1008.7,-0.6321722721279089
1008.71,-0.6315383594852573
1008.72,-0.6309025594309011
1008.73,-0.6302648633120311
1008.74,-0.6296252624195604
1008.75,-0.6289837479876477
1008.76,-0.628340311193214
1008.77,-0.6276949431554555
1008.78,-0.6270476349353507
1008.7900000000001,-0.6263983775351616
1008.8000000000001,-0.6257471618979319
1008.8100000000001,-0.6250939789069773
1008.82,-0.6244388193853716
1008.83,-0.6237816740954285
1008.84,-0.6231225337381746
1008.85,-0.6224613889528211
1008.86,-0.6217982303162257
1008.87,-0.6211330483423516
1008.88,-0.6204658334817195
1008.89,-0.6197965761208536
1008.9,-0.619125266581723
